GeneratedID;Name;Quadrant;RecommendedAction;Ring
TRE-31;DIY Health;2;EXPLORE;2
TRE-51;Human Body Optimization;2;EXPLORE;2
TRE-60;On-Demand Delivery;0;EXPLORE;2
TRE-69;Quantified Self;2;NO ACTION;3
TRE-74;Smart Cities;0;EXPLORE;2
TRE-121;Reduce Risk of Cognitive Decline;2;EXPLORE;2
TRE-122;Liquid Biopsy for Cancer Prevention;2;NO ACTION;3
TRE-123;AI in Dermatology;2;EXPLORE;2
TRE-124;Fertility Benefits for Corporate Clients;2;EXPLORE;2
TRE-125;Voice Biomarkers to detect Diseases;2;EXPLORE;2
TRE-126;Precision Prenatal Care;2;EXPLORE;2
TRE-127;Proactive Depression Diagnosis;2;EXPLORE;2
TRE-128;Mobile Diagnosis Services;2;VALIDATE;1
TRE-129;Remote MSK Rehabilitation;2;VALIDATE;1
TRE-130;Pharmacogenetics to increase quality of care;2;VALIDATE;1
TRE-131;Home Base Cardiac Rehabilitation;2;VALIDATE;1
TRE-132;Bike freeway;0;EXPLORE;2
TRE-133;Luminous Pathways;0;EXPLORE;2
TRE-134;Road Traffic as Software;0;EXPLORE;2
TRE-137;Robotaxi;0;EXPLORE;2
TRE-139;Shared Mobility;0;EXPLORE;2
TRE-140;Micromobility;0;VALIDATE;1
TRE-141;Navigation Apps;0;EXPLORE;2
TRE-142;Hyperloop Trains;0;EXPLORE;2
TRE-143;Supersonic flight;0;NO ACTION;3
TRE-144;Hypersonic travel;0;NO ACTION;3
TRE-146;Pay-per-Mile | Pay-per-Use;0;VALIDATE;1
TRE-147;In-Vehicle Experience;0;EXPLORE;2
TRE-148;Personalized Vehicles;0;EXPLORE;2
TRE-149;Private Spaceflight;0;EXPLORE;2
TRE-150;Space Tourism;0;EXPLORE;2
TRE-151;Starship Vehicle (Multiplanetary travel);0;NO ACTION;3
TRE-152;All-in-One Solutions;1;EXPLORE;2
TRE-153;Flying taxis;0;EXPLORE;2
TRE-154;Delivery Drone;0;EXPLORE;2
TRE-155;Electric Vehicles;0;ACT NOW;0
TRE-156;Insurance AI;1;VALIDATE;1
TRE-158;Transdermal Patches;2;NO ACTION;3
TRE-159;Digital solutions for mental wellness;2;EXPLORE;2
TRE-160;Self-Diagnostic;2;EXPLORE;2
TRE-161;Health Savings Accounts;1;VALIDATE;1
TRE-162;Hormone and drug free birth control;2;NO ACTION;3
TRE-163;Voice Recognition Solutions;3;EXPLORE;2
TRE-164;Aging in place;2;VALIDATE;1
TRE-165;Femtech;2;EXPLORE;2
TRE-167;Self Healing Concrete;3;EXPLORE;2
TRE-168;Transparent Aluminum;3;NO ACTION;3
TRE-169;Light-emitting cement;3;EXPLORE;2
TRE-170;Pollution Absorbing Bricks;3;NO ACTION;3
TRE-171;Invisible Solar Panels;3;EXPLORE;2
TRE-172;Underwater Houses;3;NO ACTION;3
TRE-173;Heat Pump;3;EXPLORE;2
TRE-174;Synthetic Grass;3;NO ACTION;3
TRE-175;AI Home Security;3;EXPLORE;2
TRE-177;Smart Locks;3;EXPLORE;2
TRE-178;Smart Doorbell;3;EXPLORE;2
TRE-179;Geofencing;0;EXPLORE;2
TRE-180;Internet of Things;3;EXPLORE;2
TRE-181;Smart kitchen table;3;EXPLORE;2
TRE-182;Robot Chef;3;EXPLORE;2
TRE-183;Smart Toilet;3;EXPLORE;2
TRE-184;Solar Tiles;3;EXPLORE;2
TRE-185;Smart Glass Windows;3;NO ACTION;3
TRE-186;Fractional ownership;1;EXPLORE;2
TRE-187;Co-living homes;3;EXPLORE;2
TRE-188;Real Estate Blockchain;1;EXPLORE;2
TRE-189;Rent-to-Own;1;EXPLORE;2
TRE-190;15 minute City;3;EXPLORE;2
TRE-194;On-demand Home Services;3;ACT NOW;0
TRE-195;AI for Cancer Detection;2;EXPLORE;2
TRE-197;mRNA vaccines;2;NO ACTION;3
TRE-199;CRISPR;2;NO ACTION;3
TRE-200;Sleep Tech;2;EXPLORE;2
TRE-202;Big Tech In Pharma;2;NO ACTION;3
TRE-203;Health professionals platforms;2;NO ACTION;3
TRE-204;Tissue Engineering;2;NO ACTION;3
TRE-205;Allogeneic Cell Therapies;2;NO ACTION;3
TRE-206;Gene editing in human embryos;2;NO ACTION;3
TRE-207;Metabolic Health Devices;2;EXPLORE;2
TRE-208;Early detection of Alzheimer's disease;2;EXPLORE;2
TRE-209;Personalized Maternity Care;2;EXPLORE;2
TRE-210;Biological Age Test;2;EXPLORE;2
TRE-211;Ketone-based therapies;2;NO ACTION;3
TRE-213;Fall detection and emergency call devices;2;EXPLORE;2
TRE-214;Healthcare drone deliveries;2;NO ACTION;3
TRE-216;Peer to Peer insurance;1;EXPLORE;2
TRE-218;Virtual-first care;2;EXPLORE;2
TRE-221;Virtual Reality;3;EXPLORE;2
TRE-222;Prediction Market;1;EXPLORE;2
TRE-223;Cybersecurity;1;EXPLORE;2
TRE-224;Embedded Insurance;1;EXPLORE;2
TRE-225;On-demand healthcare;2;VALIDATE;1
TRE-226;IoT, Telematics & Wearables;2;EXPLORE;2
TRE-227;Artificial Intelligence;1;EXPLORE;2
TRE-228;Caregiving Technologies;2;EXPLORE;2
